"","DBN","School Name","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","School Type","Parent Response Rate","frl_percent","ell_percent","asian_per","black_per","hispanic_per","white_per","male_per","female_per","sped_percent","total_enrollment","Num of SAT Test Takers"
"88","03M505","Edward A. Reynolds West Side High School","401","369","351","Transfer High School","14%",70.5,7.8,0.5,34.6,64.4,0.5,44.3,55.7,23,564,"35"
"89","03M541","Manhattan / Hunter Science High School","473","506","467","High School","22%",55.2,1.3,25.6,21.4,41.5,10.2,41.1,58.9,3.8,453,"111"
"90","03M860","Frederick Douglass Academy Ii Secondary School","356","379","361","Middle/High School","49%",64.2,5.8,0.7,77.7,18.9,1.5,54.2,45.8,20.8,413,"43"
"91","04M409","Coalition School For Social Change","354","357","373","High School","18%",71.8,9.7,0.9,39.3,58.7,0.9,44.4,55.6,24.4,349,"48"
"92","04M435","Manhattan Center For Science And Mathematics","461","514","455","High School","21%",71.6,2.7,20.1,19.7,57.4,2.2,46.4,53.6,5.8,1650,"375"
"93","04M495","Park East High School","373","379","376","High School","30%",76.8,4.3,4.9,33.2,59.6,0.3,42.1,57.9,10.6,349,"51"
"94","04M555","Central Park East High School","405","421","395","High School","30%",70.4,4,6.5,26.7,64.5,1.6,32.1,67.9,13.5,445,"73"
"95","04M610","Young Women'S Leadership School","432","446","448","Middle/High School","60%",67.3,2.2,5.1,31.2,60.1,1.6,0,100,6.7,449,"70"
"96","04M635","Academy Of Environmental Science Secondary High Sc","369","369","357","High School","74%",62.7,13.5,4.2,27.6,65.6,2.1,62,38,18.8,192,"48"
"97","04M680","Heritage School, The","358","351","345","High School","51%",71.8,6.8,0.3,28.9,69.4,1,48.6,51.4,24.8,294,"31"
"98","05M285","Harlem Renaissance High School","357","318","333","Transfer High School","24%",67.6,9.5,0.5,62.2,36.9,0.5,39.2,60.8,10.8,222,"29"
"99","05M304","Mott Hall High School","413","399","398","High School","78%",78.5,8.7,0.9,35,63.8,0.2,53.5,46.5,15.5,426,"54"
"100","05M362","Columbia Secondary School","s","s","s","Middle/High School","39%",46.3,0.6,11.6,20,48.5,18.4,49.6,50.4,0.4,474,"s"
